eventDate,qcFlagCode,value,timeSeriesId
2022-01-01T00:00:00Z,2,4.011,5cebf1de3d0f4a073c4bb94b
2022-01-01T00:15:00Z,2,3.857,5cebf1de3d0f4a073c4bb94b
2022-01-01T00:30:00Z,2,3.691,5cebf1de3d0f4a073c4bb94b
2022-01-01T00:45:00Z,2,3.513,5cebf1de3d0f4a073c4bb94b
2022-01-01T01:00:00Z,2,3.326,5cebf1de3d0f4a073c4bb94b
2022-01-01T01:15:00Z,2,3.131,5cebf1de3d0f4a073c4bb94b
2022-01-01T01:30:00Z,2,2.93,5cebf1de3d0f4a073c4bb94b
2022-01-01T01:45:00Z,2,2.725,5cebf1de3d0f4a073c4bb94b
2022-01-01T02:00:00Z,2,2.517,5cebf1de3d0f4a073c4bb94b
2022-01-01T02:15:00Z,2,2.307,5cebf1de3d0f4a073c4bb94b
2022-01-01T02:30:00Z,2,2.097,5cebf1de3d0f4a073c4bb94b
2022-01-01T02:45:00Z,2,1.889,5cebf1de3d0f4a073c4bb94b
2022-01-01T03:00:00Z,2,1.683,5cebf1de3d0f4a073c4bb94b
2022-01-01T03:15:00Z,2,1.482,5cebf1de3d0f4a073c4bb94b
2022-01-01T03:30:00Z,2,1.288,5cebf1de3d0f4a073c4bb94b
2022-01-01T03:45:00Z,2,1.104,5cebf1de3d0f4a073c4bb94b
2022-01-01T04:00:00Z,2,0.932,5cebf1de3d0f4a073c4bb94b
2022-01-01T04:15:00Z,2,0.776,5cebf1de3d0f4a073c4bb94b
2022-01-01T04:30:00Z,2,0.638,5cebf1de3d0f4a073c4bb94b
2022-01-01T04:45:00Z,2,0.521,5cebf1de3d0f4a073c4bb94b
2022-01-01T05:00:00Z,2,0.428,5cebf1de3d0f4a073c4bb94b
2022-01-01T05:15:00Z,2,0.361,5cebf1de3d0f4a073c4bb94b
2022-01-01T05:30:00Z,2,0.321,5cebf1de3d0f4a073c4bb94b
2022-01-01T05:45:00Z,2,0.309,5cebf1de3d0f4a073c4bb94b
2022-01-01T06:00:00Z,2,0.325,5cebf1de3d0f4a073c4bb94b
2022-01-01T06:15:00Z,2,0.369,5cebf1de3d0f4a073c4bb94b
2022-01-01T06:30:00Z,2,0.439,5cebf1de3d0f4a073c4bb94b
2022-01-01T06:45:00Z,2,0.533,5cebf1de3d0f4a073c4bb94b
2022-01-01T07:00:00Z,2,0.65,5cebf1de3d0f4a073c4bb94b
2022-01-01T07:15:00Z,2,0.787,5cebf1de3d0f4a073c4bb94b
2022-01-01T07:30:00Z,2,0.942,5cebf1de3d0f4a073c4bb94b
2022-01-01T07:45:00Z,2,1.112,5cebf1de3d0f4a073c4bb94b
2022-01-01T08:00:00Z,2,1.297,5cebf1de3d0f4a073c4bb94b
2022-01-01T08:15:00Z,2,1.492,5cebf1de3d0f4a073c4bb94b
2022-01-01T08:30:00Z,2,1.698,5cebf1de3d0f4a073c4bb94b
2022-01-01T08:45:00Z,2,1.912,5cebf1de3d0f4a073c4bb94b
2022-01-01T09:00:00Z,2,2.132,5cebf1de3d0f4a073c4bb94b
2022-01-01T09:15:00Z,2,2.356,5cebf1de3d0f4a073c4bb94b
2022-01-01T09:30:00Z,2,2.582,5cebf1de3d0f4a073c4bb94b
2022-01-01T09:45:00Z,2,2.808,5cebf1de3d0f4a073c4bb94b
2022-01-01T10:00:00Z,2,3.032,5cebf1de3d0f4a073c4bb94b
2022-01-01T10:15:00Z,2,3.249,5cebf1de3d0f4a073c4bb94b
2022-01-01T10:30:00Z,2,3.458,5cebf1de3d0f4a073c4bb94b
2022-01-01T10:45:00Z,2,3.656,5cebf1de3d0f4a073c4bb94b
2022-01-01T11:00:00Z,2,3.84,5cebf1de3d0f4a073c4bb94b
2022-01-01T11:15:00Z,2,4.008,5cebf1de3d0f4a073c4bb94b
2022-01-01T11:30:00Z,2,4.159,5cebf1de3d0f4a073c4bb94b
2022-01-01T11:45:00Z,2,4.29,5cebf1de3d0f4a073c4bb94b
2022-01-01T12:00:00Z,2,4.402,5cebf1de3d0f4a073c4bb94b
2022-02-01T00:00:00Z,2,4.376,5cebf1de3d0f4a073c4bb94b
2022-02-01T00:15:00Z,2,4.339,5cebf1de3d0f4a073c4bb94b
2022-02-01T00:30:00Z,2,4.283,5cebf1de3d0f4a073c4bb94b
2022-02-01T00:45:00Z,2,4.207,5cebf1de3d0f4a073c4bb94b
2022-02-01T01:00:00Z,2,4.112,5cebf1de3d0f4a073c4bb94b
2022-02-01T01:15:00Z,2,3.998,5cebf1de3d0f4a073c4bb94b
2022-02-01T01:30:00Z,2,3.866,5cebf1de3d0f4a073c4bb94b
2022-02-01T01:45:00Z,2,3.719,5cebf1de3d0f4a073c4bb94b
2022-02-01T02:00:00Z,2,3.557,5cebf1de3d0f4a073c4bb94b
2022-02-01T02:15:00Z,2,3.383,5cebf1de3d0f4a073c4bb94b
2022-02-01T02:30:00Z,2,3.199,5cebf1de3d0f4a073c4bb94b
2022-02-01T02:45:00Z,2,3.005,5cebf1de3d0f4a073c4bb94b
2022-02-01T03:00:00Z,2,2.805,5cebf1de3d0f4a073c4bb94b
2022-02-01T03:15:00Z,2,2.598,5cebf1de3d0f4a073c4bb94b
2022-02-01T03:30:00Z,2,2.388,5cebf1de3d0f4a073c4bb94b
2022-02-01T03:45:00Z,2,2.175,5cebf1de3d0f4a073c4bb94b
2022-02-01T04:00:00Z,2,1.96,5cebf1de3d0f4a073c4bb94b
2022-02-01T04:15:00Z,2,1.747,5cebf1de3d0f4a073c4bb94b
2022-02-01T04:30:00Z,2,1.535,5cebf1de3d0f4a073c4bb94b
2022-02-01T04:45:00Z,2,1.33,5cebf1de3d0f4a073c4bb94b
2022-02-01T05:00:00Z,2,1.132,5cebf1de3d0f4a073c4bb94b
2022-02-01T05:15:00Z,2,0.944,5cebf1de3d0f4a073c4bb94b
2022-02-01T05:30:00Z,2,0.772,5cebf1de3d0f4a073c4bb94b
2022-02-01T05:45:00Z,2,0.617,5cebf1de3d0f4a073c4bb94b
2022-02-01T06:00:00Z,2,0.483,5cebf1de3d0f4a073c4bb94b
2022-02-01T06:15:00Z,2,0.373,5cebf1de3d0f4a073c4bb94b
2022-02-01T06:30:00Z,2,0.29,5cebf1de3d0f4a073c4bb94b
2022-02-01T06:45:00Z,2,0.236,5cebf1de3d0f4a073c4bb94b
2022-02-01T07:00:00Z,2,0.211,5cebf1de3d0f4a073c4bb94b
2022-02-01T07:15:00Z,2,0.216,5cebf1de3d0f4a073c4bb94b
2022-02-01T07:30:00Z,2,0.251,5cebf1de3d0f4a073c4bb94b
2022-02-01T07:45:00Z,2,0.314,5cebf1de3d0f4a073c4bb94b
2022-02-01T08:00:00Z,2,0.403,5cebf1de3d0f4a073c4bb94b
2022-02-01T08:15:00Z,2,0.517,5cebf1de3d0f4a073c4bb94b
2022-02-01T08:30:00Z,2,0.652,5cebf1de3d0f4a073c4bb94b
2022-02-01T08:45:00Z,2,0.808,5cebf1de3d0f4a073c4bb94b
2022-02-01T09:00:00Z,2,0.98,5cebf1de3d0f4a073c4bb94b
2022-02-01T09:15:00Z,2,1.169,5cebf1de3d0f4a073c4bb94b
2022-02-01T09:30:00Z,2,1.371,5cebf1de3d0f4a073c4bb94b
2022-02-01T09:45:00Z,2,1.585,5cebf1de3d0f4a073c4bb94b
2022-02-01T10:00:00Z,2,1.809,5cebf1de3d0f4a073c4bb94b
2022-02-01T10:15:00Z,2,2.043,5cebf1de3d0f4a073c4bb94b
2022-02-01T10:30:00Z,2,2.283,5cebf1de3d0f4a073c4bb94b
